Station,Latitude,Longitude
1AVE/1ST,37.779786,-122.509476
1AVE/10ST,37.779786,-122.48887725
2AVE/1ST,37.78884225,-122.509476
2AVE/10ST,37.78884225,-122.48887725
2AVE/20ST,37.78884225,-122.46598975
2AVE/30ST,37.78884225,-122.44310225000001
2AVE/40ST,37.78884225,-122.42021475
2AVE/50ST,37.78884225,-122.39732725
2AVE/60ST,37.78884225,-122.37443975000001
2AVE/70ST,37.78884225,-122.35155225000001
3AVE/1ST,37.7978985,-122.509476
3AVE/10ST,37.7978985,-122.48887725
3AVE/20ST,37.7978985,-122.46598975
3AVE/30ST,37.7978985,-122.44310225000001
3AVE/40ST,37.7978985,-122.42021475
3AVE/50ST,37.7978985,-122.39732725
3AVE/60ST,37.7978985,-122.37443975000001
3AVE/70ST,37.7978985,-122.35155225000001
4AVE/1ST,37.80695475,-122.509476
4AVE/10ST,37.80695475,-122.48887725
4AVE/20ST,37.80695475,-122.46598975
4AVE/30ST,37.80695475,-122.44310225000001
4AVE/40ST,37.80695475,-122.42021475
4AVE/50ST,37.80695475,-122.39732725
4AVE/60ST,37.80695475,-122.37443975000001
4AVE/70ST,37.80695475,-122.35155225000001
5AVE/1ST,37.816011,-122.509476
5AVE/5ST,37.816011,-122.500321
5AVE/10ST,37.816011,-122.48887725
5AVE/15ST,37.816011,-122.4774335
5AVE/20ST,37.816011,-122.46598975
5AVE/25ST,37.816011,-122.45454600000001
5AVE/30ST,37.816011,-122.44310225000001
5AVE/35ST,37.816011,-122.43165850000001
5AVE/40ST,37.816011,-122.42021475
5AVE/45ST,37.816011,-122.408771
5AVE/50ST,37.816011,-122.39732725
5AVE/55ST,37.816011,-122.3858835
5AVE/60ST,37.816011,-122.37443975000001
5AVE/65ST,37.816011,-122.36299600000001
5AVE/70ST,37.816011,-122.35155225000001
5AVE/75ST,37.816011,-122.3401085
5AVE/80ST,37.816011,-122.32866475
6AVE/10ST,37.825067250000004,-122.48887725
6AVE/20ST,37.825067250000004,-122.46598975
6AVE/30ST,37.825067250000004,-122.44310225000001
6AVE/40ST,37.825067250000004,-122.42021475
6AVE/50ST,37.825067250000004,-122.39732725
6AVE/60ST,37.825067250000004,-122.37443975000001
6AVE/70ST,37.825067250000004,-122.35155225000001
6AVE/80ST,37.825067250000004,-122.32866475
7AVE/10ST,37.834123500000004,-122.48887725
7AVE/20ST,37.834123500000004,-122.46598975
7AVE/30ST,37.834123500000004,-122.44310225000001
7AVE/40ST,37.834123500000004,-122.42021475
7AVE/50ST,37.834123500000004,-122.39732725
7AVE/60ST,37.834123500000004,-122.37443975000001
7AVE/70ST,37.834123500000004,-122.35155225000001
7AVE/80ST,37.834123500000004,-122.32866475
8AVE/10ST,37.843179750000004,-122.48887725
